,영화ID,영화명,개봉일,국적,장르,감독,배우
5046,5046,개같은 내인생,1989-05-27,스웨덴,드라마,라세 할스트룀,"안톤 글란제리우스,토마스 폰 브롬센"
5047,5047,고향이 어디세요,2017-11-09,한국,다큐멘터리,정수웅,"김금단,김용복"
5048,5048,8 마일,2003-02-21,미국,드라마,커티스 핸슨,"에미넴,킴 베이싱어,브리트니 머피,안소니 마키"
5049,5049,초이스,2018-11-08,미국,"멜로/로맨스,드라마",로스 캐츠,"벤자민 워커,테레사 팔머,톰 윌킨슨"
5050,5050,아기와 나,2017-11-23,한국,드라마,손태겸,"이이경,정연주,조경창,이승현,가심현,최초아,오희준,박명신,류경수,전신환,박순천,안민영,정인기"
5051,5051,바람에 젖은 여자,2017-05-25,일본,"코미디,드라마",시오타 아키히코,"나가오카 타스쿠,마미야 유키"
5052,5052,아메리칸 패스토럴,2017-05-25,미국,"가족,드라마",이완 맥그리거,"이완 맥그리거,제니퍼 코넬리,다코타 패닝"
5053,5053,남자와 여자,2018-05-31,한국,드라마,주목,"이상현,고애리,정선철,조혜련,이강진,이상현,이준석,조주현"
5054,5054,리스펙트,2018-11-28,한국,다큐멘터리,심재희,"더 콰이엇,도끼,딥플로우,MC 메타,빈지노,산이,스윙스,제리케이,제이제이케이,타이거 JK,팔로알토,허클베리피,김봉현,김봉현,산이"
5055,5055,소성리,2018-08-16,한국,다큐멘터리,박배일,"도금연,임순분,김의선,강현욱"
5056,5056,한나,2018-07-26,이탈리아,드라마,안드레아 팔라오로,"샬롯 램플링,안드레 윔즈"
5057,5057,메이트,2019-01-17,한국,멜로/로맨스,정대건,"심희섭,정혜성,길해연,전신환,윤소미,송유현,한사명,김인국,박새별,윤상이,유연선,송의환,박희정,김민형,최용혁,한제택,강혁일,배영준,김희중,최재협,임선아,강숙,박수진,박정숙,김기준,신선호,오정민,김선영,김세인,김현석,강원,이상현,정태영,허진,장진혁,홍성은,조성호,이진영,윤태환,조정훈,윤현정,이혜수,이민경,김창환,한지수,정영은,김진황,이현서"
5058,5058,치어 댄스,2017-09-21,일본,코미디,카와이 하야토,"히로세 스즈,나카조 아야미,아마미 유키"
5059,5059,판타스틱 Mr. 폭스,2009-12-24,미국,"애니메이션,코미디,어드벤처,가족",웨스 앤더슨,"조지 클루니,메릴 스트립,빌 머레이,제이슨 슈왈츠먼"
5060,5060,파리 오페라,2018-05-17,프랑스,다큐멘터리,장-스테판 브롱,"스테판 리스너,필립 조르당,벤자민 마일피드"
5061,5061,시칠리아 햇빛아래,2017-06-28,홍콩,멜로/로맨스,린 유쉰,"이준기,주동우"
5062,5062,리브 어게인,2018-04-26,미국,"코미디,드라마",로버트 에드워즈,"크리스토퍼 월켄,앰버 허드"
5063,5063,빠삐용,1974-09-07,미국,"드라마,어드벤처",프랭크린 J. 샤프너,"더스틴 호프만,안소니 저브,스티브 맥퀸"
5064,5064,내 아내와 결혼해 주세요,2017-05-18,일본,"멜로/로맨스,드라마",미야케 요시시게,"오다 유지,요시다 요,하라다 타이조,다카시마 레이코,마시마 히데카즈"
5065,5065,반도에 살어리랏다,2018-01-25,한국,"애니메이션,코미디",이용선,"이승행,오가빈,이용우,박진영,강예솔,이승훈,이슬,이슬,이슬,이승훈,이승훈,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이용선,이유진,이유진,박지현,박진영,박진영,박진영,김나영,김나영,김나영,김나영,김나영,김나영,김민성,강성우"
5066,5066,크리미널 게임: 보석 사기단,2019-01-23,캐나다,"범죄,액션",제임스 오클레이,"우마 서먼,팀 로스"
5067,5067,브레이븐,2018-09-13,캐나다,"액션,드라마",린 오딩,"제이슨 모모아,스티븐 랭,가렛 딜라헌트"
5068,5068,인피니티 포스 : 독수리오형제 최후의 심판,2018-10-18,일본,애니메이션,마츠모토 준,"박상우,신정훈,오현기,허성재,조연우,방지원,오은수"
5069,5069,헬 페스트,2018-12-13,미국,공포(호러),그레고리 플로킨,"에이미 포사이스,레인 에드워즈,로비 아탈"
5070,5070,바람의 춤꾼,2017-06-06,한국,다큐멘터리,최상진,"이삼헌,변우균"
5071,5071,트레이터,2017-08-03,영국,"범죄,스릴러",수잔나 화이트,"이완 맥그리거,나오미 해리스,스텔란 스카스가드,데미안 루이스"
5072,5072,선희와 슬기,2019-03-27,한국,드라마,박영주,"정다은,박수연,정유연,전국향,류영재,김나리,김다미,박지훈,박효빈,김민정,엄옥란,김상욱,김선경,김소숙,윤성원,이상아,임형국,김인숙,김현진,권귀빈,김재화,장혜진,김경민,전민경,최윤정,윤주혜,조재현,김주연,김주은,이승연,이규현,구지현,이남경,김나혜,이동엽,김단희,이동은,김민엽,이해선,김창훈,조다빈,김원준,김유주,김주림,조우현,노하은,김현복,이유진,남명렬,지소연,유송주,문주하,이은정,정소이,정승혜,천문영,정이재,정종열,신세빈,김유빈,이경림,최다솔,정태건,안희정,김지수,서민아,장하영,백다예,엄지민,밝남희,박예진,추세희,오치현,변정윤,박성택"
5073,5073,안개 속 소녀,2018-12-06,이탈리아,"미스터리,스릴러",도나토 카리시,"토니 세르빌로,아레시오 보니,로렌조 리첼미,장 르노"
5074,5074,바람의 색,2018-04-05,일본,"판타지,멜로/로맨스",곽재용,"후루카와 유우키,후지이 타케미"
5075,5075,삼손,2018-04-19,미국,"액션,드라마",브루스 맥도널드,"타일러 제임스,잭슨 라스본,빌리 제인,룻거 하우어"
5076,5076,친애하는 우리 아이,2018-11-01,일본,"드라마,가족",미시마 유키코,"아사노 타다노부,타나카 레나,테라지마 시노부,쿠도 칸쿠로"
5077,5077,땡큐 포 유어 서비스,2017-12-07,미국,"드라마,전쟁",제이슨 홀,"마일즈 텔러,해일리 베넷,조 콜,비우라 코알레"
5078,5078,내 머리 속의 지우개,2004-11-05,한국,멜로/로맨스,이재한,"정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
5079,5079,안티포르노,2017-06-15,일본,드라마,소노 시온,"토미테 아미,츠츠이 마리코"
5080,5080,브레이브 하트,1995-06-17,미국,"드라마,액션,전쟁,사극",멜 깁슨,"소피 마르소,제임스 코스모,제임스 로빈슨"
5081,5081,폭력의 씨앗,2017-11-02,한국,드라마,임태규,"이가섭,정재윤,소이,박성일,문광백,박지훈,박해오,정대기,이주연,임태규,김동현,박강섭,박지훈,정희태"
5082,5082,나는 아들을 사랑하지 않는다,2017-11-30,노르웨이,드라마,아릴드 안드레센,"크리스토퍼 조너,크리스토페르 베치,말론 모레노"
5083,5083,라라,2018-02-22,한국,"멜로/로맨스,드라마",한상희,"정채연,산이,치 푸,김나온,산이,이주희,이지원,이하은,이혜인,박지일,이수련,하경"
5084,5084,행맨,2019-01-23,미국,"미스터리,범죄,스릴러",조니 마틴,"알 파치노,칼 어번,사라 샤이,브리타니 스노우"
5085,5085,돈 슬립,2017-07-19,미국,"공포(호러),스릴러",필립 구즈먼,"조셀린 도나휴,제시 브래포드,로리 페티"
5086,5086,위시업,2018-12-13,미국,"뮤지컬,코미디,멜로/로맨스",스콧 스피어,"로스 린치,올리비아 홀트"
5087,5087,식스 빌로우,2018-01-25,미국,"드라마,스릴러",스캇 워프,"조쉬 하트넷,미라 소르비노"
5088,5088,다즐링 주식회사,2007-12-13,미국,"드라마,어드벤처,코미디",웨스 앤더슨,"오웬 윌슨,애드리언 브로디"
5089,5089,100미터,2017-07-20,스페인,"코미디,드라마",마르셀 바레나,"다니 로비라,카라 엘레할데,알렉산드라 히메네즈"
5090,5090,아이 엠 낫 유어 니그로,2018-02-08,프랑스,다큐멘터리,라울 펙,사무엘 L. 잭슨
5091,5091,더 히어로,2018-02-01,미국,"코미디,드라마",브렛 헤일리,"샘 엘리엇,로라 프레폰,크리스틴 리터"
5092,5092,하이 스트렁,2018-01-04,미국,"드라마,멜로/로맨스",마이클 데미언,"키넌 캄파,니콜라스 갈리친"
5093,5093,22년 후의 고백,2018-01-17,일본,스릴러,이리에 유,"후지와라 타츠야,이토 히데아키"
5094,5094,사운드 오브 뮤직,1978-02-04,미국,"드라마,뮤지컬",로버트 와이즈,"줄리 앤드류스,크리스토퍼 플러머"
5095,5095,뮤지엄,2017-05-18,일본,"범죄,스릴러",오오토모 케이시,"오구리 슌,츠마부키 사토시"
5096,5096,엘리스 헤지나,2017-12-07,브라질,드라마,휴고 프라타,"안드레이아 오르타,구스타보 마차도"
5097,5097,이 세상의 한구석에,2017-11-16,일본,애니메이션,카타부치 스나오,"노넨 레나,호소야 요시마사,오노 다이스케,한 메구미"
5098,5098,오버드라이브,2017-12-14,프랑스,"액션,스릴러",안토니오 니그렛,"스콧 이스트우드,아나 디 아르마스"
5099,5099,스노우맨,2017-12-14,미국,"범죄,드라마,미스터리",토마스 알프레드슨,"마이클 패스벤더,레베카 퍼거슨"
5100,5100,충격과 공포,2018-09-06,미국,드라마,롭 라이너,"밀라 요보비치,제시카 비엘,제임스 마스던,우디 해럴슨,토미 리 존스"
5101,5101,아우토반,2017-03-22,영국,"액션,스릴러",에란 크리비,"니콜라스 홀트,펠리시티 존스,안소니 홉킨스,벤 킹슬리"
5102,5102,"두 번째 여름, 두 번 다시 만날 수 없는 너",2019-01-23,일본,멜로/로맨스,나카니시 켄지,"무라카미 니지로,요시다 마도카,카토 레나"
5103,5103,나부코,2017-04-01,미국,공연,바바라 윌리스 스위츠,플라시도 도밍고
5104,5104,해원,2018-05-10,한국,다큐멘터리,구자환,"김현선,김동주,김종현,김창후,박정희,박종훈,최병환"
5105,5105,다이빙: 그녀에 빠지다,2018-11-29,프랑스,"멜로/로맨스,드라마",멜라니 로랑,"질 를르슈,마리아 발베르드"
5106,5106,브레인 온 파이어,2017-12-07,영국,드라마,제라드 배렛,"클로이 모레츠,리차드 아미티지,캐리 앤 모스"
5107,5107,맘&대드,2018-07-18,미국,"공포(호러),스릴러",브라이언 테일러,"니콜라스 케이지,셀마 블레어"
5108,5108,디 아더스,2002-01-10,미국,"미스터리,공포(호러)",알레한드로 아메나바르,"니콜 키드먼,알라키나 만,제임스 벤틀리"
5109,5109,인도차이나,1992-07-11,프랑스,"드라마,멜로/로맨스",레지스 와그니어,"까뜨린느 드뇌브,벵상 뻬레,장 이안"
5110,5110,소녀의 세계,2018-11-29,한국,멜로/로맨스,"안정민,안정민","노정의,조수향,권나라,조수하,김수현,김주연,김현주,박솔,박수연,이경훈,조병규"
5111,5111,노후 대책 없다,2017-06-29,한국,다큐멘터리,이동우,"정진용,이동우,이주영"
5112,5112,워크 투 리멤버,2002-06-21,미국,멜로/로맨스,아담 쉥크만,"쉐인 웨스트,맨디 무어"
5113,5113,게이트-완결판,2018-06-21,한국,"범죄,코미디",신재호,"임창정,정려원,정상훈,이경영,이문식,최윤슬"
5114,5114,파워레인져스: 더 비기닝,2017-04-20,미국,"액션,어드벤처,판타지,SF",딘 이스라엘리트,"데이커 몽고메리,나오미 스콧,RJ 사일러,베키 지,루디 린,빌 헤이더,브라이언 크랜스톤,엘리자베스 뱅크스,데이빗 덴맨,안잘리 자이,캐롤라인 케이브"
5115,5115,딥씨 챌린지,2017-11-30,미국,다큐멘터리,"존 브루노,앤드류 와이트",제임스 카메론
5116,5116,극장판 또봇: 로봇군단의 습격,2017-04-27,한국,애니메이션,"이달,고동우","하룡이,신경선,이현,박연미,이혜림,이호승,임은경,박지연,박지훈,신준하,정재준,안효민,원지수,윤민영,이경진,최빛나라,최은지,김신영,김신영,김영선"
5117,5117,엔젤페이스,2019-03-14,프랑스,드라마,바네사 필류,마리옹 꼬띠아르
5118,5118,극장판 프리! – 타임리스 메들리 - 약속,2018-04-12,일본,애니메이션,카와나미 에이사쿠,"시마자키 노부나가,스즈키 타츠히사,미야노 마모루"
5119,5119,넬리,2017-08-24,캐나다,드라마,안 에몽,밀렌 맥케이
5120,5120,나의 연기 워크샵,2017-12-28,한국,드라마,안선경,"김소희,이관헌,김강은,성호준,서원경,권수민,서혜주,황효상,황지우"
5121,5121,굿 윌 헌팅,1998-03-21,미국,드라마,구스 반 산트,"맷 데이먼,로빈 윌리엄스"
5122,5122,극장판 프리! – 타임리스 메들리 - 인연,2018-04-12,일본,애니메이션,카와나미 에이사쿠,"시마자키 노부나가,스즈키 타츠히사,미야노 마모루"
5123,5123,헛소동,2017-07-27,미국,드라마,조스 웨던,"에이미 아커,알렉시스 데니소프,클라크 그레그,나단 필리온,숀 마허"
5124,5124,토이 스토리 3,2010-08-05,미국,"가족,코미디,판타지",리 언크리치,"톰 행크스,조앤 쿠삭"
5125,5125,참외향기,2018-05-31,한국,드라마,김우석,"지대한,동방우,김경룡,백학기,한태일,남포동,남지혜,강민성,김경애,김상혁,박승원,박준우,석현철,이소정,임덕은,천신남,함천길"
5126,5126,딥워터 호라이즌,2017-01-25,미국,"액션,드라마",피터 버그,"마크 월버그,딜런 오브라이언,케이트 허드슨,커트 러셀,지나 로드리게즈,존 말코비치,에단 서플리,조 크레스트,제임스 더몬트,크리스 애쉬워스"
5127,5127,특수부대 전랑2,2017-11-30,중국,"액션,전쟁",오경,"오경,프랭크 그릴로"
5128,5128,삼생삼세 십리도화,2018-01-18,중국,"판타지,멜로/로맨스,액션",자오 샤오딩,"유역비,양양"
5129,5129,히든 피겨스,2017-03-23,미국,드라마,데오도르 멜피,"타라지 P. 헨슨,옥타비아 스펜서,케빈 코스트너,커스틴 던스트,짐 파슨스"
5130,5130,이레이저 헤드,1996-07-13,영국,"공포(호러),판타지,드라마",데이빗 린치,"잭 낸스,샬롯 스튜어트,잔느 베이츠"
5131,5131,장고 인 멜로디,2018-03-01,프랑스,드라마,에티엔느 코마,"레다 카텝,세실 드 프랑스"
5132,5132,토스카,2017-11-19,독일,공연,사이먼 래틀,크리스틴 오폴라이스
5133,5133,특별수사: 사형수의 편지,2016-06-16,한국,"범죄,드라마",권종관,"김명민,김상호,성동일,김영애,김향기,김뢰하,박수영,박혁권,최병모,오민석,이지훈,박지환,신구,이한위,이문식,김명국,정택호,차상민,이성욱,이승훈,민진웅,홍기준,곽자형"
5134,5134,포항,2019-02-27,한국,드라마,모현신,"고관재,홍서백,최현아,박창근,김승직,이형석,이은영,정윤석,수안홍,신재욱,정혜련,이대식,정혜린,심성훈,이도형,장혜미,영건,희야,박재홍"
5135,5135,다영씨,2018-12-06,한국,"드라마,코미디",고봉수,"신민재,이호정,강하람,김용진,김정기,김충길,박원진,백승환,유현정,윤지혜,이호정,조준희,조준희,고성완"
5136,5136,토스카,2018-11-18,독일,"공연,드라마,스릴러",미햐엘 슈투르밍어,"안야 하르테로스,알렉산드르 안토넨코,뤼도빅 테지에"
5137,5137,극장판 진격의 거인 2기: 각성의 포효,2018-10-31,일본,"애니메이션,SF",마사시 코이즈카,"카지 유키,이시카와 유이,이노우에 마리나"
5138,5138,맞짱,2018-09-12,한국,"액션,범죄",차룡,"최태환,양은용,차룡,윤용현,강풍,김상용,김석준,김용운,김철준,김형식,서동원,이성훈,이언정,이재용,지성환"
5139,5139,언더 더 트리,2018-11-08,아이슬란드,"코미디,스릴러",하프슈타인 군나르 지그라쏜,에다 비욕빈스도티르
5140,5140,사쿠라다 리셋 –전편-,2017-11-02,일본,"SF,판타지",후카가와 요시히로,노무라 슈헤이
5141,5141,블랙,2009-08-27,인도,드라마,산제이 렐라 반살리,"아미타브 바흐찬,라니 무케르지"
5142,5142,스페이드의 여왕,2019-02-03,독일,"공연,드라마",한스 노이엔펠스,브랜던 요바노비치
5143,5143,토이 스토리,1995-12-30,미국,"애니메이션,코미디,판타지",존 래스터,"톰 행크스,짐 바니"
5144,5144,겨울여자,1977-09-27,한국,"드라마,멜로/로맨스",김호선,"장미희,신성일,김추련,신광일"
5145,5145,사쿠라다 리셋 –후편-,2017-11-02,일본,"SF,판타지",후카가와 요시히로,노무라 슈헤이
5146,5146,스텝 바이 스텝,2018-10-11,프랑스,드라마,"그랜드 콥스 마라드,메흐디 이디르","파블로 폴리,무사 만살리,프랑크 팔리스,나일리아 아르준,수피안 게라브"
5147,5147,아빠는 딸,2017-04-12,한국,코미디,김형협,"윤제문,정소민,이일화,신구,이미도,강기영,박혁권,허가윤,민도희,박희진,정유동,윤진영,이유진,이정수"
5148,5148,미션 이스탄불,2017-08-17,독일,액션,크리스티앙 알바트,"틸 슈바이거,파리 오군 야르딤"
5149,5149,그린 파파야 향기,1994-07-30,프랑스,드라마,트란 안 홍,트란 누 옌케
5150,5150,꽃찌: 독이 있는 사랑,2018-08-23,한국,드라마,김문옥,"박가현,이성훈,김국현,정인철,김정민,박보근,우명덕,정인철"
5151,5151,시소,2016-11-10,한국,다큐멘터리,고희영,"이동우,임재신,김윤태,김진희"
5152,5152,늦여름,2018-10-25,한국,멜로/로맨스,조성규,"임원희,전석호,신소율,정연주,허동원,이윤희,조선묵,이봉련"
5153,5153,굿 매너스,2018-05-03,브라질,"판타지,공포(호러)","마르코 두트라,줄리아나 로자스",이사벨 주아
5154,5154,여자라는 이름으로,2018-10-11,프랑스,드라마,마르코 툴리오 지오다나,크리스티아나 카포톤디
5155,5155,알제리의 이탈리아 여인,2019-03-17,독일,"공연,드라마,코미디","모셰 라이저,파트리스 코리에",체칠리아 바르톨리
5156,5156,행복의 나라,2018-07-19,한국,"드라마,가족",정민규,"지용석,예수정,김시은,기주봉,김근영,김민중,김은경,이민아,이새별,정민성,정인기,진가민"
5157,5157,비포 선셋,2004-10-22,미국,드라마,리차드 링클레이터,"줄리 델피,에단 호크"
5158,5158,케이지 다이브,2017-09-21,호주,"드라마,공포(호러)",제럴드 라시오나토,"조엘 호건,조시 포트호프,메간 페타 힐"
5159,5159,배틀트립 투 그리스,2018-04-26,프랑스,코미디,알렉산더 코페르,"발레리 보네통,대니 분"
5160,5160,로미오와 줄리엣,2018-05-20,독일,"공연,드라마,멜로/로맨스",위르겐 플림,"후안 디에고 플로레즈,아이다 가리풀리나"
5161,5161,예스 평창!,2018-03-08,한국,다큐멘터리,백철기,"박용성,최문순,이광재,박선규,김동원,김동일,김상현,김주환,박재현,이승원"
5162,5162,지옥의 묵시록 리덕스,2001-08-30,미국,"전쟁,드라마",프란시스 포드 코폴라,"로버트 듀발,말론 브란도,마틴 쉰"
5163,5163,더 블랙,2018-09-13,한국,다큐멘터리,이마리오,"김중기,차지훈,이마리오,이상훈,이승호"
5164,5164,반짝이는 박수 소리,2015-04-23,한국,다큐멘터리,이길보라,"길경희,이상국,이길보라,이광희,정임순"
5165,5165,험악한 꿈,2019-02-14,미국,"멜로/로맨스,스릴러",나단 몰랜도,"소피 넬리스,조쉬 위긴스,빌 팩스톤"
5166,5166,12피트,2018-11-08,미국,스릴러,맷 에스칸다리,"노라-제인 눈,다이안 파"
5167,5167,"이,기적인 남자",2018-10-25,한국,드라마,김재식,"박호산,최유하,김남우,김민경,김민희,김유진,김수진,김주희,김지연,김진수,김하영,김하영,박다윤,박민지,박성모,박종민,박준범,박진성,백승균,신승현,이민우,이수현,이승현,이재석,이재화,이재화,이채현,이학준,조윤주,최명기,최유진,지용석,황성준,고다솔"
5168,5168,꼭두각시,2013-06-20,한국,"공포(호러),스릴러",권영락,"이종수,구지성,원기준"
5169,5169,슬랙 베이: 바닷가 마을의 비밀,2018-04-05,프랑스,"미스터리,코미디",브루노 뒤몽,"줄리엣 비노쉬,파브리스 루치니,발레리아 브루니 테데스키"
5170,5170,"컴, 투게더",2017-05-11,한국,드라마,신동일,"이혜은,임형국,채빈,정호익,오정우,유현종,이나영,이동규,이상희,한경현,한성연,홍준기,김재록,이봄,송영학,우기홍,조용준,원태희"
5171,5171,8인의 수상한 신사들,2017-06-08,일본,"액션,코미디",기타노 다케시,"후지 타츠야,콘도 마사오미,나카오 아키라"
5172,5172,닥터 스트레인지,2016-10-26,미국,"액션,어드벤처,판타지",스콧 데릭슨,"베네딕트 컴버배치,자라 피티안,레이첼 맥아담스,틸다 스윈튼,매즈 미켈슨,치웨텔 에지오포,스콧 앳킨스,마이클 스털버그,베네딕트 웡"
5173,5173,파도치는 땅,2019-04-04,한국,드라마,임태규,"박정학,이태경,맹세창,양조아,고관재,안민영,정희태,전영운,임채리,임예리,강영일,박성일,박정주,박지원,박혜림,송현영,송현영,이재희,정지원,장윤정,이지성,홍재민,홍재민,조준형,김영은,김성혁,임윤비,이유나,주아영,주판기,노동환,유지민,박노아,이경화,신진숙,최윤솔,임예리,양지윤,전보배,임채리,성헤민,송혜인,허미임,허지혁,허찬곤"
5174,5174,필그리미지,2019-04-11,아일랜드,"액션,어드벤처",브렌든 멀다우니,"톰 홀랜드,존 번탈,리차드 아미티지"
5175,5175,원스 어폰 어 타임 인 아메리카,1984-12-10,미국,액션,세르지오 레오네,"엘리자베스 맥거번,트리트 윌리엄스,조 페시,제임스 우즈,제니퍼 코넬리,로버트 드 니로"
5176,5176,창간호,2019-01-17,한국,"드라마,코미디,멜로/로맨스,뮤지컬","백승환,하수민,정인희,지일주,백승환","정형석,문종원,조달환,이지현,조민재,김재화,서동갑,이영진,백수장,지일주,강찬희,백승환,이병수,부진서,백주환,백승환,윤성우"
5177,5177,토이 스토리 2,1999-12-18,미국,"애니메이션,어드벤처,가족","존 라세터,리 언크리치,애쉬 브래넌","톰 행크스,팀 알렌,조앤 쿠삭"
5178,5178,프리 파이어,2017-12-07,프랑스,"액션,범죄,드라마",벤 휘틀리,"브리 라슨,샬토 코플리,킬리언 머피,샘 라일리,아미 해머,잭 레이너"
5179,5179,환타지아2000,2000-08-05,미국,"애니메이션,뮤지컬","제임스 알거,헨델 부토이,에릭 골드버그,괴탄 브릿지,폴 브릿지","스티브 마틴,베트 미들러"
5180,5180,타클라마칸,2018-03-22,한국,드라마,고은기,"조성하,김서연,하윤경,고은기,김용호,김진수,박정현,송승철,송은지,송화진,윤유석,이성준,이재우,조선묵,김준배,안민영,박상훈,김현,최원태,최원,이형성"
5181,5181,이름없는 새,2018-06-21,일본,"멜로/로맨스,스릴러",시라이시 카즈야,"아오이 유우,아베 사다오"
5182,5182,남자가 사랑할 때,2014-01-22,한국,"멜로/로맨스,드라마",한동욱,"황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아,정희태,곽진석,김서원,박혁민,손병욱"
5183,5183,발레리나,2017-02-09,프랑스,"애니메이션,어드벤처,가족,뮤지컬","에릭 섬머,에릭 와린","엘르 패닝,데인 드한"
5184,5184,허비 행콕: 무한한 가능성,2019-02-21,미국,다큐멘터리,"더그 바이로,존 파인",허비 행콕
5185,5185,파크,2017-11-09,일본,드라마,세타 나츠키,"하시모토 아이,나가노 메이,소메타니 쇼타"
5186,5186,인투 더 나잇,2018-03-29,한국,"다큐멘터리,드라마",갈재민,"차승우,박현준,김세영,최욱노,조훈,하선형,김경찬,김인수,박정우,이건희,정은영,조훈"
5187,5187,폭풍의 언덕,2012-06-28,영국,"드라마,멜로/로맨스",안드레아 아놀드,"카야 스코델라리오,제임스 호손,폴 힐튼,올리버 밀번"
5188,5188,겨울로 가는 마차,1982-01-01,한국,"드라마,멜로/로맨스",정소영,"김영애,이영하,김진규"
5189,5189,아마도 내일은,2017-06-01,오스트리아,드라마,알렉스 K. 리,"알릭스 베네치크,플로렝 아르누"
5190,5190,올 더 뷰티,2017-11-23,노르웨이,드라마,오스네 보 그레이브로크,"매그너스 크레퍼,크리스토퍼 조너"
5191,5191,킬 존,2018-11-04,미국,액션,토드 바투,에릭 오드
5192,5192,위대한 탄생,2006-12-21,미국,드라마,캐서린 하드윅,"케이샤 캐슬-휴즈,오스카 아이삭"
5193,5193,애프터매스,2018-04-19,미국,"드라마,스릴러",엘리어트 레스터,아놀드 슈왈제네거
5194,5194,미스터 쉐프,2017-08-18,중국,"드라마,코미디",엽위민,"정용화,사정봉"
5195,5195,기적: 그 날의 소비토,2017-10-19,일본,드라마,카네시게 아츠시,"마츠자카 토리,스다 마사키,쿠츠나 시오리"
5196,5196,그대품에 다시한번,1988-11-26,프랑스,드라마,잭 카디프,"매리엔 페이스풀,알랑 드롱,마리우스 고링"
5197,5197,육체의 약속,1975-07-26,한국,멜로/로맨스,김기영,"이정길,김지미"
5198,5198,선생님!... 좋아해도 될까요?,2018-04-06,일본,"드라마,멜로/로맨스",미키 타카히로,"히로세 스즈,이쿠타 토마"
5199,5199,다잉,2018-12-27,스페인,드라마,페르난도 프랑코,"마리안 알바레즈,안드레스 게르트루딕스"
5200,5200,장미의 이름,1989-06-03,프랑스,"드라마,미스터리,스릴러,범죄",장 자끄 아노,"숀 코네리,크리스찬 슬레이터"
5201,5201,주먹왕 랄프,2012-12-19,미국,애니메이션,리치 무어,"존 C. 레일리,잭 맥브레이어,제인 린치"
5202,5202,풀 스피드,2017-08-24,프랑스,코미디,니콜라스 베나무,"호세 가르시아,앙드레 뒤솔리에"
5203,5203,무간도2 - 혼돈의 시대,2003-12-05,홍콩,"범죄,드라마","유위강,맥조휘","진관희,여문락,황추생,증지위"
5204,5204,나의 살던 고향은,2016-11-24,한국,다큐멘터리,류종헌,김용옥
5205,5205,밤의 해변에서 혼자,2017-03-23,한국,드라마,홍상수,"김민희,정재영,서영화,권해효,송선미,문성근,안재홍,박예주,박홍열,신선,공민정,안선영,강태우,한재이"
5206,5206,지옥의 묵시록,1988-06-04,미국,"전쟁,드라마",프란시스 포드 코폴라,"말론 브란도,마틴 쉰,로버트 듀발"
5207,5207,봄은 온다,2019-03-14,일본,다큐멘터리,윤미아,"후지와라 노리카,야마데라 코이치"
5208,5208,라따뚜이,2007-07-25,미국,"애니메이션,드라마,코미디,가족",브래드 버드,"패튼 오스왈트,루 로마노,피터 손"
5209,5209,앤트로포이드,2018-01-18,영국,"스릴러,전쟁",숀 엘리스,"킬리언 머피,제이미 도넌"
5210,5210,루나,2018-08-16,프랑스,"드라마,멜로/로맨스",엘자 디링거,"레티샤 클레망,로드 파라도"
5211,5211,사일런스,2017-02-28,미국,드라마,마틴 스코세이지,"앤드류 가필드,리암 니슨,아담 드라이버,시아란 힌즈,아사노 타다노부,고마츠 나나,츠카모토 신야,카세 료,사부,이세이 오가타"
5212,5212,점박이:한반도의 공룡3D,2012-01-26,한국,"애니메이션,어드벤처,액션",한상호,"이형석,신용우,구자형"
5213,5213,신은 죽지 않았다 2,2016-04-07,미국,드라마,해롤드 크론크,"멜리사 조안 하트,제시 멧칼피"
5214,5214,혈투,2011-02-24,한국,"액션,사극",박훈정,"박희순,진구,고창석,장희진,김길동,권현석,전국환,최일화,최교식"
5215,5215,미스터 앤 미스터 대디,2018-11-22,미국,"코미디,드라마",앤드류 플레밍,"폴 러드,스티브 쿠건,케이트 월쉬,알리슨 필"
5216,5216,국정교과서 516일 : 끝나지 않은 역사전쟁,2017-11-23,한국,다큐멘터리,백승우,"한홍구,박한용,김민철,이준식,하일식,이동기,안병우,한상권,이동욱"
5217,5217,오베라는 남자,2016-05-25,스웨덴,드라마,하네스 홀름,"롤프 라스가드,바하르 파르스,필립 버그,이다 엥볼"
5218,5218,숲속의 부부,2018-02-15,한국,"판타지,스릴러,액션",전규환,"지성원,김성민,조혜정,강성용,김학배,노슬기,박희선,이상윤,이주희,정재욱,최희정,안민영,이윤상"
5219,5219,유주얼 서스펙트,1996-01-27,미국,"범죄,스릴러,미스터리",브라이언 싱어,"스티븐 볼드윈,가브리엘 번,채즈 팔민테리,케빈 스페이시,베니치오 델 토로,케빈 폴락,피트 포스틀스웨이트"
5220,5220,해피뻐스데이,2017-11-09,한국,"드라마,코미디",이승원,"서갑숙,김선영,박지훈,양윤식,이승원,이주원,김경덕,장선,김성민"
